id;nombre;edad;genero;ciudad;comentario;categoria_del_problema;nivel_de_urgencia;fecha_del_reporte;acceso_a_internet;atencion_previa_del_gobierno;zona_rural
109;valentina;44;nan;cucuta;faltan medicos en el centro de salud;educacion;no urgente;2024 08 01;0;0;1
110;juan;27;m;cucuta;faltan medicos en el centro de salud;salud;urgente;2023 01 12;1;0;0
111;juan;74;otro;pereira;las basuras no se recogen a tiempo;seguridad;urgente;2023 12 03;1;0;0
112;juan;65;otro;pereira;hay problemas con la recoleccion de basura;salud;urgente;2023 04 08;1;0;1
113;valentina;32;f;barranquilla;nan;educacion;no urgente;2023 01 02;0;0;1
114;carlos;19;otro;medellin;queremos mas presencia policial;seguridad;urgente;2023 04 05;0;1;1
115;camilo;25;otro;bogota;hay problemas con la recoleccion de basura;salud;urgente;2024 04 01;1;1;1
116;jorge;36;otro;bogota;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2024 02 15;0;1;0
117;laura;55;f;cali;falta agua potable en varias casas;medio ambiente;urgente;2023 09 09;0;1;1
118;jorge;62;f;cartagena;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2023 04 01;0;1;1
119;maria;43;f;bucaramanga;las basuras no se recogen a tiempo;educacion;no urgente;2023 01 29;1;0;1
120;pedro;54;otro;santa marta;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2023 09 21;1;1;0
121;carlos;;f;cali;faltan medicos en el centro de salud;seguridad;urgente;2024 03 10;1;0;0
122;maria;65;m;cartagena;faltan medicos en el centro de salud;medio ambiente;no urgente;2023 07 18;0;0;1
123;sofia;66;nan;cartagena;las basuras no se recogen a tiempo;medio ambiente;urgente;2024 07 02;1;1;1
124;ana;31;otro;barranquilla;queremos mas presencia policial;seguridad;no urgente;2024 06 10;1;1;0
125;pedro;47;m;medellin;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2024 09 09;1;0;0
126;juan;61;otro;pereira;hay problemas con la recoleccion de basura;educacion;no urgente;2023 06 04;1;0;0
127;camilo;32;otro;bucaramanga;la contaminacion del rio esta aumentando;seguridad;urgente;2023 06 20;1;0;0
128;laura;46;m;pereira;las basuras no se recogen a tiempo;educacion;urgente;2024 04 22;0;1;1
129;valentina;66;otro;pereira;necesitamos mas acceso a internet en la zona;educacion;no urgente;2023 08 09;1;0;1
130;valentina;17;m;bogota;nan;seguridad;urgente;2024 05 02;0;0;0
131;juan;30;f;santa marta;las basuras no se recogen a tiempo;medio ambiente;no urgente;2024 07 15;1;0;0
132;valentina;65;otro;bucaramanga;las basuras no se recogen a tiempo;salud;urgente;2024 01 21;1;0;0
133;carlos;15;otro;bucaramanga;faltan medicos en el centro de salud;seguridad;urgente;2023 10 06;1;0;1
134;camilo;71;f;pereira;la contaminacion del rio esta aumentando;medio ambiente;urgente;2023 12 24;0;0;0
135;carlos;27;nan;bogota;las basuras no se recogen a tiempo;educacion;urgente;2023 03 09;1;0;0
136;jorge;36;m;bogota;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2024 01 08;0;1;0
137;sofia;18;otro;cartagena;la contaminacion del rio esta aumentando;salud;urgente;2024 04 16;0;1;0
138;carlos;28;m;cucuta;no tenemos centros culturales ni bibliotecas;salud;urgente;2023 08 03;1;0;1
139;carlos;55;m;medellin;las basuras no se recogen a tiempo;salud;no urgente;2024 05 28;1;1;1
140;pedro;57;otro;pereira;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2023 11 05;1;0;1
141;juan;73;otro;bucaramanga;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2024 03 17;1;0;0
142;jorge;27;m;cucuta;las basuras no se recogen a tiempo;educacion;no urgente;2023 09 21;1;1;0
143;valentina;60;m;manizales;no hay suficientes escuelas publicas;educacion;urgente;2024 04 10;0;1;0
144;laura;71;f;medellin;falta agua potable en varias casas;seguridad;no urgente;2023 11 27;1;0;1
145;valentina;;otro;pereira;la contaminacion del rio esta aumentando;salud;urgente;2024 08 11;0;1;0
146;jorge;35;m;santa marta;queremos mas presencia policial;medio ambiente;no urgente;2024 02 04;0;0;0
147;valentina;43;f;barranquilla;no hay suficientes escuelas publicas;salud;no urgente;2024 07 25;1;1;1
148;ana;16;otro;cartagena;la contaminacion del rio esta aumentando;salud;no urgente;2024 06 20;1;1;1
149;ana;51;f;cucuta;falta agua potable en varias casas;medio ambiente;no urgente;2023 02 15;1;1;0
150;maria;55;f;cucuta;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 12 02;1;1;0
151;pedro;60;m;santa marta;la contaminacion del rio esta aumentando;seguridad;urgente;2023 06 12;0;1;1
152;sofia;52;m;manizales;falta agua potable en varias casas;salud;no urgente;2023 06 26;1;1;0
153;laura;;m;bogota;las calles estan muy oscuras y peligrosas;medio ambiente;no urgente;2024 02 14;1;1;0
154;maria;79;m;barranquilla;la contaminacion del rio esta aumentando;medio ambiente;urgente;2023 02 03;0;1;0
155;sofia;40;m;cucuta;falta agua potable en varias casas;medio ambiente;no urgente;2024 06 18;1;0;1
156;ana;64;f;cali;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 04 11;0;0;1
157;camilo;37;otro;cartagena;falta agua potable en varias casas;educacion;no urgente;2023 02 08;0;1;0
158;juan;40;f;bogota;no hay suficientes escuelas publicas;medio ambiente;urgente;2023 12 08;0;1;0
159;laura;47;f;santa marta;falta agua potable en varias casas;seguridad;no urgente;2024 11 09;0;0;1
160;carlos;18;f;barranquilla;no hay suficientes escuelas publicas;seguridad;urgente;2023 04 19;0;0;1
161;laura;49;otro;cali;la contaminacion del rio esta aumentando;educacion;no urgente;2023 07 09;0;0;0
162;carlos;66;m;manizales;nan;seguridad;urgente;2024 02 14;0;0;0
163;juan;79;f;bucaramanga;hay problemas con la recoleccion de basura;salud;no urgente;2023 09 14;1;0;0
164;juan;21;otro;pereira;las basuras no se recogen a tiempo;salud;urgente;2024 01 18;1;0;0
165;sofia;39;f;bogota;faltan medicos en el centro de salud;seguridad;no urgente;2024 02 05;0;0;0
166;camilo;79;nan;manizales;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 01 24;1;0;0
167;jorge;46;nan;barranquilla;las calles estan muy oscuras y peligrosas;medio ambiente;urgente;2023 06 03;0;0;1
168;valentina;41;otro;bogota;las calles estan muy oscuras y peligrosas;seguridad;no urgente;2023 05 25;0;1;1
169;maria;25;otro;cali;faltan medicos en el centro de salud;educacion;no urgente;2023 12 08;0;1;0
170;ana;21;otro;pereira;las basuras no se recogen a tiempo;salud;no urgente;2024 05 04;0;1;1
171;carlos;18;f;bucaramanga;las basuras no se recogen a tiempo;seguridad;urgente;2023 05 11;0;0;1
172;carlos;16;otro;bogota;no hay suficientes escuelas publicas;seguridad;no urgente;2024 08 02;0;1;0
173;ana;78;otro;barranquilla;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2024 11 19;1;1;1
174;jorge;70;f;cucuta;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2023 04 23;0;0;0
175;laura;17;otro;cucuta;queremos mas presencia policial;educacion;no urgente;2023 04 09;1;0;0
176;ana;54;m;manizales;falta agua potable en varias casas;salud;urgente;2024 07 15;1;0;0
177;laura;;otro;santa marta;las basuras no se recogen a tiempo;seguridad;urgente;2023 06 07;0;0;0
178;camilo;45;m;cali;queremos mas presencia policial;salud;urgente;2023 03 17;1;1;0
179;carlos;72;f;bucaramanga;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2023 09 13;0;1;0
180;carlos;58;f;bogota;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 10 03;0;1;1
181;laura;30;f;santa marta;nan;medio ambiente;no urgente;2024 04 28;0;1;1
182;carlos;42;otro;bogota;la contaminacion del rio esta aumentando;educacion;urgente;2024 09 29;1;0;1
183;valentina;78;f;medellin;la contaminacion del rio esta aumentando;seguridad;no urgente;2024 02 12;0;0;1
184;juan;39;f;cali;las basuras no se recogen a tiempo;salud;urgente;2024 03 05;1;1;0
185;camilo;33;m;cartagena;las basuras no se recogen a tiempo;educacion;no urgente;2024 11 13;0;1;0
186;juan;43;m;cartagena;necesitamos mas acceso a internet en la zona;educacion;no urgente;2023 05 25;0;0;0
187;pedro;;otro;cartagena;queremos mas presencia policial;medio ambiente;no urgente;2024 07 10;1;0;1
188;jorge;76;otro;santa marta;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 11 26;1;0;0
189;jorge;74;f;barranquilla;faltan medicos en el centro de salud;educacion;no urgente;2024 11 06;1;0;1
190;sofia;80;f;medellin;necesitamos mas acceso a internet en la zona;seguridad;urgente;2024 07 27;0;1;0
191;maria;17;m;cali;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2024 03 08;0;0;1
192;laura;15;m;cucuta;faltan medicos en el centro de salud;educacion;no urgente;2024 05 31;1;0;0
193;camilo;61;f;cartagena;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2023 05 18;0;1;0
194;valentina;63;f;cucuta;falta agua potable en varias casas;educacion;no urgente;2023 06 14;1;0;0
195;pedro;34;otro;barranquilla;las calles estan muy oscuras y peligrosas;medio ambiente;no urgente;2023 05 29;0;0;1
196;pedro;19;otro;manizales;hay problemas con la recoleccion de basura;educacion;no urgente;2023 10 30;1;1;0
197;valentina;52;f;cali;las basuras no se recogen a tiempo;medio ambiente;no urgente;2024 06 10;1;1;0
198;maria;40;f;pereira;las basuras no se recogen a tiempo;educacion;urgente;2023 11 24;0;1;1
199;maria;73;otro;barranquilla;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2023 08 03;0;0;1
200;carlos;;m;medellin;la contaminacion del rio esta aumentando;educacion;urgente;2024 01 19;0;0;0
201;ana;;f;santa marta;faltan medicos en el centro de salud;medio ambiente;no urgente;2023 09 16;0;1;0
202;jorge;60;otro;cartagena;faltan medicos en el centro de salud;salud;urgente;2024 06 30;1;1;1
203;ana;78;otro;cali;no hay suficientes escuelas publicas;seguridad;no urgente;2023 01 11;1;0;1
204;pedro;27;m;pereira;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2024 08 20;1;0;1
205;juan;77;m;bucaramanga;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2024 05 11;1;1;0
206;pedro;27;f;bucaramanga;nan;medio ambiente;no urgente;2023 04 07;0;0;0
207;sofia;65;m;cali;queremos mas presencia policial;educacion;urgente;2024 11 30;1;0;1
208;camilo;;f;santa marta;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 06 19;0;1;1
209;pedro;15;m;bogota;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2023 11 06;1;0;0
210;pedro;39;f;cali;nan;educacion;no urgente;2024 04 12;0;0;1
211;ana;17;f;santa marta;las calles estan muy oscuras y peligrosas;seguridad;urgente;2023 03 12;0;0;1
212;carlos;64;otro;barranquilla;hay problemas con la recoleccion de basura;medio ambiente;urgente;2023 06 06;1;1;1
213;ana;18;f;bogota;falta agua potable en varias casas;educacion;urgente;2023 12 24;1;0;0
214;jorge;60;m;santa marta;la contaminacion del rio esta aumentando;seguridad;no urgente;2024 02 18;1;0;0
215;maria;28;f;medellin;no hay suficientes escuelas publicas;salud;no urgente;2023 07 25;1;0;0
216;camilo;30;m;bogota;necesitamos mas acceso a internet en la zona;seguridad;urgente;2023 10 10;0;0;0
217;laura;16;m;bucaramanga;las basuras no se recogen a tiempo;medio ambiente;no urgente;2024 01 24;0;1;0
218;camilo;75;otro;cucuta;falta agua potable en varias casas;seguridad;no urgente;2023 01 25;0;0;1
219;maria;22;f;cartagena;las calles estan muy oscuras y peligrosas;salud;no urgente;2023 08 13;0;0;1
220;carlos;36;otro;cartagena;queremos mas presencia policial;seguridad;urgente;2024 06 03;1;0;1
221;juan;49;otro;manizales;las basuras no se recogen a tiempo;medio ambiente;no urgente;2024 05 16;1;1;1
222;valentina;43;m;manizales;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2023 10 29;1;1;0
223;camilo;51;otro;bogota;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2024 07 02;1;0;0
224;maria;21;m;cali;no hay suficientes escuelas publicas;medio ambiente;no urgente;2023 03 29;0;1;0
225;ana;72;f;pereira;falta agua potable en varias casas;seguridad;urgente;2023 09 25;1;0;1
226;maria;;otro;pereira;queremos mas presencia policial;educacion;urgente;2024 08 03;1;0;1
227;jorge;34;otro;bucaramanga;no tenemos centros culturales ni bibliotecas;salud;urgente;2024 02 06;0;0;0
228;sofia;49;f;barranquilla;queremos mas presencia policial;seguridad;urgente;2023 09 26;0;1;0
229;camilo;52;f;medellin;nan;medio ambiente;urgente;2024 11 17;0;1;1
230;laura;19;m;cartagena;queremos mas presencia policial;educacion;no urgente;2024 01 06;0;0;0
231;camilo;56;m;bogota;faltan medicos en el centro de salud;educacion;no urgente;2024 02 21;1;1;0
232;valentina;17;otro;manizales;nan;seguridad;no urgente;2024 11 04;0;1;1
233;valentina;61;otro;cucuta;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2023 08 04;1;0;0
234;jorge;65;f;pereira;queremos mas presencia policial;educacion;no urgente;2024 04 26;0;0;0
235;sofia;71;otro;bucaramanga;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2023 08 17;1;0;1
236;ana;35;m;bogota;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2023 02 15;0;0;1
237;juan;34;f;cartagena;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2023 10 23;1;0;0
238;valentina;78;f;bogota;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 11 17;1;1;1
239;sofia;16;otro;cartagena;las basuras no se recogen a tiempo;medio ambiente;no urgente;2023 09 13;1;1;0
240;sofia;;f;barranquilla;falta agua potable en varias casas;salud;urgente;2023 04 09;1;1;1
241;maria;16;m;barranquilla;no hay suficientes escuelas publicas;medio ambiente;no urgente;2024 07 16;1;0;1
242;carlos;58;otro;cucuta;nan;seguridad;no urgente;2024 11 22;0;0;0
243;laura;76;f;cucuta;faltan medicos en el centro de salud;medio ambiente;no urgente;2024 06 11;0;0;0
244;carlos;43;m;bogota;queremos mas presencia policial;medio ambiente;no urgente;2024 05 17;1;1;0
245;sofia;;f;bucaramanga;no hay suficientes escuelas publicas;salud;urgente;2024 03 04;1;1;1
246;pedro;35;otro;cali;falta agua potable en varias casas;seguridad;urgente;2024 02 12;0;0;0
247;laura;40;m;bogota;queremos mas presencia policial;medio ambiente;no urgente;2023 01 30;0;0;0
248;valentina;22;m;cartagena;nan;salud;no urgente;2024 07 21;0;1;1
249;maria;36;f;cali;las calles estan muy oscuras y peligrosas;medio ambiente;no urgente;2024 02 28;1;1;0
250;laura;76;f;santa marta;no tenemos centros culturales ni bibliotecas;salud;no urgente;2023 04 03;1;0;1
251;valentina;62;m;cucuta;las calles estan muy oscuras y peligrosas;salud;urgente;2023 09 01;0;1;0
252;pedro;29;m;nan;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2023 06 08;1;0;0
253;sofia;67;m;cucuta;hay problemas con la recoleccion de basura;educacion;urgente;2024 07 27;1;0;0
254;maria;62;f;bucaramanga;nan;medio ambiente;no urgente;2023 05 28;1;0;1
255;laura;78;f;bogota;no hay suficientes escuelas publicas;salud;no urgente;2023 11 18;1;1;1
256;pedro;37;m;cartagena;faltan medicos en el centro de salud;seguridad;no urgente;2023 05 09;0;1;1
257;carlos;;f;manizales;la contaminacion del rio esta aumentando;seguridad;urgente;2023 01 18;1;0;1
258;carlos;46;m;barranquilla;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2024 01 03;0;0;1
259;carlos;54;f;pereira;queremos mas presencia policial;educacion;no urgente;2023 11 26;1;1;1
260;jorge;67;otro;santa marta;nan;educacion;no urgente;2023 10 25;0;1;0
261;pedro;69;otro;cartagena;faltan medicos en el centro de salud;seguridad;urgente;2024 04 19;1;0;1
262;maria;36;otro;santa marta;faltan medicos en el centro de salud;seguridad;urgente;2024 05 08;0;1;0
263;jorge;31;m;bucaramanga;la contaminacion del rio esta aumentando;educacion;urgente;2024 06 02;1;1;1
264;camilo;21;f;manizales;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2023 06 30;0;0;1
265;valentina;78;otro;cartagena;hay problemas con la recoleccion de basura;salud;urgente;2023 09 21;0;1;1
266;jorge;80;f;cartagena;no tenemos centros culturales ni bibliotecas;educacion;urgente;2024 04 21;1;0;1
267;carlos;64;m;santa marta;hay problemas con la recoleccion de basura;salud;urgente;2024 08 30;0;1;1
268;pedro;;otro;cartagena;faltan medicos en el centro de salud;seguridad;urgente;2024 05 06;1;1;1
